-0.305815, 51.512382,"Nando's Ealin... (Free trial)"
-0.288385, 51.510295,"Nando's Ealing Commo... (Free trial)"
-0.194216, 51.492619,"Nando's Earls Cour... (Free trial)"
-1.353884, 50.966796,"Nando's Eastleig... (Free trial)"
-0.276407, 51.613798,"Nando's Edgwar... (Free trial)"
-3.1911631, 55.947414,"Nando's Edinburg... (Free trial)"
-3.205316, 55.946781,"Nando's Edinburg... (Free trial)"
-3.216901, 55.941998,"Nando's Edinburg... (Free trial)"
-0.099302, 51.496324,"Nando's Elephant & Castl... (Free trial)"
-0.081502, 51.651913,"Nando's Enfiel... (Free trial)"
-0.267008, 51.33431,"Nando's Epso... (Free trial)"
-0.133315, 51.528697,"Nando's Eusto... (Free trial)"
-3.527393, 50.724515,"Nando's Exete... (Free trial)"
-1.178903, 50.852176,"Nando's Fareha... (Free trial)"
-0.410675, 51.445786,"Nando's Feltha... (Free trial)"
-0.173616, 51.604784,"Nando's Finchle... (Free trial)"
-0.195007, 51.480624,"Nando's Fulham Broadwa... (Free trial)"
-4.342095, 55.822903,"Nando's Glasgo... (Free trial)"
-4.274782, 55.855295,"Nando's Glasgo... (Free trial)"
-4.138075, 55.871185,"Nando's Glasgo... (Free trial)"
-4.371381, 55.878984,"Nando's Glasgo... (Free trial)"
-4.254421, 55.857377,"Nando's Glasgow/St Enoc... (Free trial)"
-0.13791, 51.510603,"Nando's Glasshouse Stree... (Free trial)"
-2.252599, 51.860914,"Nando's Gloucester Quay... (Free trial)"
-0.181798, 51.493724,"Nando's Gloucester Roa... (Free trial)"
-0.136398, 51.51902,"Nando's Goodge Stree... (Free trial)"
-0.143091, 51.521512,"Nando's Great Portland Stree... (Free trial)"
0.014998, 51.48965,"Nando's Greenwich Peninsul... (Free trial)"
-0.0097015, 51.483565,"Nando's Greenwich Villag... (Free trial)"
-0.576508, 51.235301,"Nando's Guildfor... (Free trial)"
-1.8623496, 53.723928,"Nando's Halifa... (Free trial)"
-0.2243248, 51.493475,"Nando's Hammersmit... (Free trial)"
0.094099, 51.76769,"Nando's Harlo... (Free trial)"
-0.333278, 51.581192,"Nando's Harro... (Free trial)"
-0.240389, 51.761422,"Nando's Hatfiel... (Free trial)"
-0.197748, 51.499025,"Nando's High Street Kensingto... (Free trial)"
-0.75622, 51.630807,"Nando's High Wycomb... (Free trial)"
-0.121492, 51.517996,"Nando's Holbor... (Free trial)"
0.219585, 51.562683,"Nando's Hornchurc... (Free trial)"
-0.354716, 51.470413,"Nando's Hounslo... (Free trial)"
-1.782818, 53.647311,"Nando's Huddersfiel... (Free trial)"
-0.347593, 53.745516,"Nando's Hul... (Free trial)"
-0.339578, 53.740244,"Nando's Hull/Princes Qua... (Free trial)"
0.07408, 51.557725,"Nando's Ilfor... (Free trial)"
1.151013, 52.053197,"Nando's Ipswic... (Free trial)"
-0.102699, 51.537413,"Nando's Islingto... (Free trial)"
-0.217221, 51.531886,"Nando's Kensal Ris... (Free trial)"
-0.142219, 51.546797,"Nando's Kentish Tow... (Free trial)"
-0.719098, 52.374878,"Nando's Ketterin... (Free trial)"
-0.200986, 51.544788,"Nando's Kilbur... (Free trial)"
0.394925, 52.755592,"Nando's King's Lyn... (Free trial)"
-0.122282, 51.531179,"Nando's Kings Cros... (Free trial)"
-0.279876, 51.5852,"Nando's Kingsbur... (Free trial)"
-0.3078, 51.406283,"Nando's Kingsto... (Free trial)"
0.284508, 51.48781,"Nando's Lakesid... (Free trial)"
-1.542079, 53.796515,"Nando's Leed... (Free trial)"
-1.583304, 53.804403,"Nando's Leed... (Free trial)"
-1.545594, 53.80012,"Nando's Leed... (Free trial)"
-1.642399, 53.743111,"Nando's Leeds J2... (Free trial)"
-1.546014, 53.798739,"Nando's Leeds Trinit... (Free trial)"
-1.574218, 53.758695,"Nando's Leeds White Ros... (Free trial)"
-1.129424, 52.633379,"Nando's Leiceste... (Free trial)"
-1.135393, 52.635883,"Nando's Leiceste... (Free trial)"
-1.135498, 52.620784,"Nando's Leicester/Freeman... (Free trial)"
-1.1855979, 52.613783,"Nando's Leicester/Meridia... (Free trial)"
-2.52198, 53.497549,"Nando's Leig... (Free trial)"
-0.008892, 51.46209,"Nando's Lewisha... (Free trial)"
-0.0834316, 51.511957,"Nando's Lime Stree... (Free trial)"
-0.543984, 53.228916,"Nando's Lincol... (Free trial)"
-2.982784, 53.408299,"Nando's Liverpoo... (Free trial)"
-2.986499, 53.403811,"Nando's Liverpool ON... (Free trial)"
-3.515011, 55.883822,"Nando's Livingsto... (Free trial)"
-4.157898, 51.68301,"Nando's Llanell... (Free trial)"
-0.417683, 51.881916,"Nando's Luto... (Free trial)"
0.520805, 51.274611,"Nando's Maidston... (Free trial)"
-2.218721, 53.440913,"Nando's Mancheste... (Free trial)"
-2.36142, 53.46788,"Nando's Mancheste... (Free trial)"
-2.240683, 53.485213,"Nando's Mancheste... (Free trial)"
-2.240411, 53.472494,"Nando's Mancheste... (Free trial)"
-2.241678, 53.4835,"Nando's Manchester/Arndal... (Free trial)"
-2.25079, 53.479894,"Nando's Manchester/Spinningfield... (Free trial)"
-2.234889, 53.497993,"Nando's Manchester/The For... (Free trial)"
-2.348991, 53.466176,"Nando's Manchester/The Orien... (Free trial)"
-2.220375, 53.408,"Nando's ManchesterParrs Woo... (Free trial)"
-3.378182, 51.738315,"Nando's Merthyr Tydfi... (Free trial)"
-1.668576, 54.957694,"Nando's Metrocentre Blue Mal... (Free trial)"
-1.668599, 54.957687,"Nando's Metrocentre Qub... (Free trial)"
-1.22391, 54.574015,"Nando's Middlesbroug... (Free trial)"
-0.078718, 51.518181,"Nando's Middlesex Stree... (Free trial)"
-0.035394, 51.524612,"Nando's Mile En... (Free trial)"
-0.762882, 52.03811,"Nando's Milton Keyne... (Free trial)"
